dteday,weekday,workingday,casual,registered,cnt,day_type
2012-09-14,5,1,1379,6630,8009,workday
2012-09-15,6,0,3160,5554,8714,weekend
2012-09-16,0,0,2166,5167,7333,workday
2012-09-17,1,1,1022,5847,6869,workday
2012-09-18,2,1,371,3702,4073,workday
2012-09-19,3,1,788,6803,7591,workday
2012-09-20,4,1,939,6781,7720,workday
2012-09-21,5,1,1250,6917,8167,workday
2012-09-22,6,0,2512,5883,8395,weekend
2012-09-23,0,0,2454,5453,7907,workday
2012-09-24,1,1,1001,6435,7436,workday
2012-09-25,2,1,845,6693,7538,workday
2012-09-26,3,1,787,6946,7733,workday
2012-09-27,4,1,751,6642,7393,workday
2012-09-28,5,1,1045,6370,7415,workday
2012-09-29,6,0,2589,5966,8555,weekend
2012-09-30,0,0,2015,4874,6889,workday
2012-10-01,1,1,763,6015,6778,workday
2012-10-02,2,1,315,4324,4639,workday
2012-10-03,3,1,728,6844,7572,workday
2012-10-04,4,1,891,6437,7328,workday
2012-10-05,5,1,1516,6640,8156,workday
2012-10-06,6,0,3031,4934,7965,weekend
2012-10-07,0,0,781,2729,3510,workday
2012-10-08,1,0,874,4604,5478,workday
2012-10-09,2,1,601,5791,6392,workday
2012-10-10,3,1,780,6911,7691,workday
2012-10-11,4,1,834,6736,7570,workday
2012-10-12,5,1,1060,6222,7282,workday
2012-10-13,6,0,2252,4857,7109,weekend
2012-10-14,0,0,2080,4559,6639,workday
2012-10-15,1,1,760,5115,5875,workday
2012-10-16,2,1,922,6612,7534,workday
2012-10-17,3,1,979,6482,7461,workday
2012-10-18,4,1,1008,6501,7509,workday
2012-10-19,5,1,753,4671,5424,workday
2012-10-20,6,0,2806,5284,8090,weekend
2012-10-21,0,0,2132,4692,6824,workday
2012-10-22,1,1,830,6228,7058,workday
2012-10-23,2,1,841,6625,7466,workday
2012-10-24,3,1,795,6898,7693,workday
2012-10-25,4,1,875,6484,7359,workday
2012-10-26,5,1,1182,6262,7444,workday
2012-10-27,6,0,2643,5209,7852,weekend
2012-10-28,0,0,998,3461,4459,workday
2012-10-29,1,1,2,20,22,workday
2012-10-30,2,1,87,1009,1096,workday
2012-10-31,3,1,419,5147,5566,workday
2012-11-01,4,1,466,5520,5986,workday
2012-11-02,5,1,618,5229,5847,workday
2012-11-03,6,0,1029,4109,5138,weekend
2012-11-04,0,0,1201,3906,5107,workday
2012-11-05,1,1,378,4881,5259,workday
2012-11-06,2,1,466,5220,5686,workday
2012-11-07,3,1,326,4709,5035,workday
2012-11-08,4,1,340,4975,5315,workday
2012-11-09,5,1,709,5283,5992,workday
2012-11-10,6,0,2090,4446,6536,weekend
2012-11-11,0,0,2290,4562,6852,workday
2012-11-12,1,0,1097,5172,6269,workday
2012-11-13,2,1,327,3767,4094,workday
2012-11-14,3,1,373,5122,5495,workday
2012-11-15,4,1,320,5125,5445,workday
2012-11-16,5,1,484,5214,5698,workday
2012-11-17,6,0,1313,4316,5629,weekend
2012-11-18,0,0,922,3747,4669,workday
2012-11-19,1,1,449,5050,5499,workday
2012-11-20,2,1,534,5100,5634,workday
2012-11-21,3,1,615,4531,5146,workday
2012-11-22,4,0,955,1470,2425,workday
2012-11-23,5,1,1603,2307,3910,workday
2012-11-24,6,0,532,1745,2277,weekend
2012-11-25,0,0,309,2115,2424,workday
2012-11-26,1,1,337,4750,5087,workday
2012-11-27,2,1,123,3836,3959,workday
2012-11-28,3,1,198,5062,5260,workday
2012-11-29,4,1,243,5080,5323,workday
2012-11-30,5,1,362,5306,5668,workday
2012-12-01,6,0,951,4240,5191,weekend
2012-12-02,0,0,892,3757,4649,workday
2012-12-03,1,1,555,5679,6234,workday
2012-12-04,2,1,551,6055,6606,workday
2012-12-05,3,1,331,5398,5729,workday
2012-12-06,4,1,340,5035,5375,workday
2012-12-07,5,1,349,4659,5008,workday
2012-12-08,6,0,1153,4429,5582,weekend
2012-12-09,0,0,441,2787,3228,workday
2012-12-10,1,1,329,4841,5170,workday
2012-12-11,2,1,282,5219,5501,workday
2012-12-12,3,1,310,5009,5319,workday
2012-12-13,4,1,425,5107,5532,workday
2012-12-14,5,1,429,5182,5611,workday
2012-12-15,6,0,767,4280,5047,weekend
2012-12-16,0,0,538,3248,3786,workday
2012-12-17,1,1,212,4373,4585,workday
2012-12-18,2,1,433,5124,5557,workday
2012-12-19,3,1,333,4934,5267,workday
2012-12-20,4,1,314,3814,4128,workday
2012-12-21,5,1,221,3402,3623,workday
2012-12-22,6,0,205,1544,1749,weekend
2012-12-23,0,0,408,1379,1787,workday
2012-12-24,1,1,174,746,920,workday
2012-12-25,2,0,440,573,1013,workday
2012-12-26,3,1,9,432,441,workday
2012-12-27,4,1,247,1867,2114,workday
2012-12-28,5,1,644,2451,3095,workday
2012-12-29,6,0,159,1182,1341,weekend
2012-12-30,0,0,364,1432,1796,workday
2012-12-31,1,1,439,2290,2729,workday
